"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\bottom_navigator.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 222
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\bottom_painter.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\drawer.dart", "Dart", 0, 628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 28, 693
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\floating_button.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\google_ads_banner.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 44
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\sizer.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\projects\flutter\49-mobile-app\lib\common\widgets\dynamic\wallet_widget.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 147
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\abstract\decimal_restriction.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\abstract\main_text_form_field.dart", "Dart", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 243
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\confirm_password_text_field.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\default_text_form_field.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 3, 74
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\email_text_form_field.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\first_name_text_form_field.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 32
"d:\projects\flutter\49-mobile-app\lib\common\widgets\form\text_fields\form_text_field.dart", "Dart", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 185
